Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,6.05,,Armand DUPLANTIS,10 NOV 1999,SWE,1,,"Olympiastadion, Berlin (GER)",12 AUG 2018,1281.0,men_PV,2018,https://worldathletics.org/athletes/athlete=14679502,toplist
2.0,6.0,,Timur MORGUNOV,12 OCT 1996,ANA,2,,"Olympiastadion, Berlin (GER)",12 AUG 2018,1267.0,men_PV,2018,https://worldathletics.org/athletes/athlete=14565215,toplist
3.0,5.96,,Sam KENDRICKS,07 SEP 1992,USA,1,,"Stade Charléty, Paris (FRA)",30 JUN 2018,1256.0,men_PV,2018,https://worldathletics.org/athletes/athlete=14440868,toplist
4.0,5.95,,Renaud LAVILLENIE,18 SEP 1986,FRA,1f2,,"Austin, TX (USA)",14 APR 2018,1253.0,men_PV,2018,https://worldathletics.org/athletes/athlete=14185853,toplist
5.0,5.94,,Piotr LISEK,16 AUG 1992,POL,1,,Lutherstadt Wittenberg (GER),01 AUG 2018,1250.0,men_PV,2018,https://worldathletics.org/athletes/athlete=14426447,toplist
6.0,5.92,,Shawnacy BARBER,27 MAY 1994,CAN,1,,"Austin, TX (USA)",31 MAR 2018,1245.0,men_PV,2018,https://worldathletics.org/athletes/athlete=14457604,toplist
7.0,5.9,,Thiago BRAZ,16 DEC 1993,BRA,1f1,,Rouen (FRA) (i),10 FEB 2018,1239.0,men_PV,2018,https://worldathletics.org/athletes/athlete=14377443,toplist
8.0,5.88,,Raphael HOLZDEPPE,28 SEP 1989,GER,1,,"Messehalle, Karlsruhe (GER) (i)",03 FEB 2018,1234.0,men_PV,2018,https://worldathletics.org/athletes/athlete=14192581,toplist
8.0,5.88,,Paweł WOJCIECHOWSKI,06 JUN 1989,POL,3,,Clermont-Ferrand (FRA) (i),25 FEB 2018,1234.0,men_PV,2018,https://worldathletics.org/athletes/athlete=14217866,toplist
8.0,5.88,,Axel CHAPELLE,24 APR 1995,FRA,4,,Clermont-Ferrand (FRA) (i),25 FEB 2018,1234.0,men_PV,2018,https://worldathletics.org/athletes/athlete=14461605,toplist
8.0,5.88,,Kévin MÉNALDO,12 JUL 1992,FRA,7,,Clermont-Ferrand (FRA) (i),25 FEB 2018,1234.0,men_PV,2018,https://worldathletics.org/athletes/athlete=14362302,toplist
12.0,5.86,,Christopher NILSEN,13 JAN 1998,USA,1,,"Sioux Falls, SD (USA)",05 MAY 2018,1228.0,men_PV,2018,https://worldathletics.org/athletes/athlete=14709278,toplist
12.0,5.86,,Kurtis MARSCHALL,25 APR 1997,AUS,3,,"Letzigrund, Zürich (SUI) (i)",29 AUG 2018,1228.0,men_PV,2018,https://worldathletics.org/athletes/athlete=14565327,toplist
14.0,5.85,,Konstantinos FILIPPIDIS,26 NOV 1986,GRE,1,,"Gallur, Madrid (ESP) (i)",08 FEB 2018,1225.0,men_PV,2018,https://worldathletics.org/athletes/athlete=14195089,toplist
15.0,5.83,,Scott HOUSTON,11 JUN 1990,USA,1,,"Albuquerque, NM (USA) (i)",17 FEB 2018,1220.0,men_PV,2018,https://worldathletics.org/athletes/athlete=14241173,toplist
16.0,5.8,,Dmitriy ZHELYABIN,20 MAY 1990,RUS,1,,Moskva (RUS) (i),25 JAN 2018,1212.0,men_PV,2018,https://worldathletics.org/athletes/athlete=14224679,toplist
16.0,5.8,,Emmanouil KARALIS,20 OCT 1999,GRE,5,,"Arena Birmingham, Birmingham (GBR) (i)",04 MAR 2018,1212.0,men_PV,2018,https://worldathletics.org/athletes/athlete=14669731,toplist
