Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year
1,19.63,+1.5,Jaiden REID,10 APR 2005,CAY,1,,"Hayward Field, Eugene, OR (USA)",12 JUN 2026,1279,men_200m,2026
2,19.67,+1.7,Gout GOUT,29 DEC 2007,AUS,1,,"Olympic Park, Sydney (AUS)",12 APR 2026,1272,men_200m,2026
3,19.69,+0.4,Kenneth BEDNAREK,14 OCT 1998,USA,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1269,men_200m,2026
4,19.74,+1.8,Sinesipho DAMBILE,02 MAR 2002,RSA,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",19 JUN 2026,1261,men_200m,2026
5,19.75,-0.9,Tate TAYLOR,26 SEP 2007,USA,1,,"Hayward Field, Eugene, OR (USA)",04 JUL 2026,1265,men_200m,2026
6,19.76,+2.0,José FIGUEROA,14 SEP 2004,PUR,1h1,,"Estadio Olimpico Juan Pablo Duarte, Santo Domingo (DOM)",05 AUG 2026,1258,men_200m,2026
7,19.84,-0.1,Andre DE GRASSE,10 NOV 1994,CAN,1f1,,"National Stadium, Gaborone (BOT)",26 APR 2026,1245,men_200m,2026
7,19.84,+0.2,Letsile TEBOGO,07 JUN 2003,BOT,1,,"Bislett Stadion, Oslo (NOR)",10 JUN 2026,1245,men_200m,2026
9,19.87,+0.5,Jelani WATKINS,05 NOV 2004,USA,1f1,,"Hutsell-Rosen Track, Auburn, AL (USA)",16 MAY 2026,1241,men_200m,2026
10,19.88,+1.7,Aidan MURPHY,14 OCT 2003,AUS,2,,"Olympic Park, Sydney (AUS)",12 APR 2026,1239,men_200m,2026
10,19.88,+0.1,Makanakaishe CHARAMBA,20 DEC 2001,ZIM,1,,"Cushing Stadium, College Station, TX (USA)",06 JUN 2026,1239,men_200m,2026
12,19.91,+1.6,Noah LYLES,18 JUL 1997,USA,1f1,,"Percy Beard Track, Gainesville, FL (USA)",17 APR 2026,1234,men_200m,2026
13,19.92,+1.0,Brandon HICKLIN,02 APR 1999,USA,1f1,,"Horizon HS, Winter Garden, FL (USA)",20 JUN 2026,1233,men_200m,2026
13,19.92,+0.4,Yassine HSSINE,31 JAN 2003,MAR,1,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1233,men_200m,2026
