Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat.1,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,71.38,,Sandra PERKOVIĆ,21 JUN 1990,CRO,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1282.0,women_DT,2018,https://worldathletics.org/athletes/athlete=14263753,toplist
2.0,68.26,,Dani STEVENS,26 MAY 1988,AUS,1,,Gold Coast (AUS),12 APR 2018,1224.0,women_DT,2018,https://worldathletics.org/athletes/athlete=14271355,toplist
3.0,67.82,,Yaimé PÉREZ,29 MAY 1991,CUB,1,,Las Tunas (CUB),10 FEB 2018,1216.0,women_DT,2018,https://worldathletics.org/athletes/athlete=14327290,toplist
4.0,67.03,,Yang CHEN,10 JUL 1991,CHN,1,,Osterode (GER),02 JUN 2018,1201.0,women_DT,2018,https://worldathletics.org/athletes/athlete=14423031,toplist
5.0,66.09,,Denia CABALLERO,13 JAN 1990,CUB,2,,Las Tunas (CUB),10 FEB 2018,1184.0,women_DT,2018,https://worldathletics.org/athletes/athlete=14263657,toplist
6.0,65.15,,Claudine VITA,19 SEP 1996,GER,2f1,,Halle (GER),26 MAY 2018,1166.0,women_DT,2018,https://worldathletics.org/athletes/athlete=14453080,toplist
7.0,65.1,,Andressa DE MORAIS,21 DEC 1990,BRA,1,,"CNDA, Bragança Paulista (BRA)",08 JUL 2018,1165.0,women_DT,2018,https://worldathletics.org/athletes/athlete=14327283,toplist
8.0,64.66,,Fernanda MARTINS,26 JUL 1988,BRA,2,,Bragança Paulista (BRA),15 SEP 2018,1157.0,women_DT,2018,https://worldathletics.org/athletes/athlete=14269404,toplist
9.0,64.58,,Bin FENG,03 APR 1994,CHN,3f1,,Halle (GER),26 MAY 2018,1156.0,women_DT,2018,https://worldathletics.org/athletes/athlete=14430151,toplist
10.0,63.92,,Yelena PANOVA,02 MAR 1987,RUS,1,,Smolensk (RUS),30 MAY 2018,1144.0,women_DT,2018,https://worldathletics.org/athletes/athlete=14298836,toplist
11.0,63.73,,Xinyue SU,08 NOV 1991,CHN,4f1,,Halle (GER),26 MAY 2018,1140.0,women_DT,2018,https://worldathletics.org/athletes/athlete=14265301,toplist
12.0,63.55,,Valarie ALLMAN,23 FEB 1995,USA,1,,"Drake Stadium, Des Moines, IA (USA)",21 JUN 2018,1137.0,women_DT,2018,https://worldathletics.org/athletes/athlete=14479216,toplist
13.0,63.0,,Nadine MÜLLER,21 NOV 1985,GER,2,,"Olympiastadion, Berlin (GER)",11 AUG 2018,1127.0,women_DT,2018,https://worldathletics.org/athletes/athlete=14278999,toplist
14.0,62.91,,Shanice CRAFT,15 MAY 1993,GER,1,,Nürnberg (GER),22 JUL 2018,1125.0,women_DT,2018,https://worldathletics.org/athletes/athlete=14361931,toplist
