Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat.1,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,22.67,,Tom WALSH,01 MAR 1992,NZL,1,,Auckland (NZL),25 MAR 2018,1281.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14413007,toplist
2.0,22.53,,Ryan CROUSER,18 DEC 1992,USA,1,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1272.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14369211,toplist
3.0,22.4,,Darrell HILL,17 AUG 1993,USA,2,,"Letzigrund, Zürich (SUI)",30 AUG 2018,1264.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14463877,toplist
4.0,22.17,,Tomáš STANĚK,13 JUN 1991,CZE,1,,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER) (i)",06 FEB 2018,1251.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14379859,toplist
5.0,22.08,,Michał HARATYK,10 APR 1992,POL,2,,"Mestský Stadion, Ostrava (CZE)",13 JUN 2018,1245.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14471190,toplist
6.0,22.0,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,,"Arena Toruń, Toruń (POL) (i)",15 FEB 2018,1240.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14500229,toplist
6.0,22.0,,Darlan ROMANI,09 APR 1991,BRA,1,,Bragança Paulista (BRA),15 SEP 2018,1240.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14377465,toplist
8.0,21.63,,Curtis JENSEN,01 NOV 1990,USA,1,,"CNDA, Bragança Paulista (BRA)",08 JUL 2018,1218.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14418959,toplist
9.0,21.62,,David STORL,27 JUL 1990,GER,1,,Biberach (GER),09 JUL 2018,1218.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14194393,toplist
10.0,21.58,,Aleksandr LESNOY,28 JUL 1988,ANA,1,,Kazan (RUS),20 JUL 2018,1215.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14363684,toplist
11.0,21.45,,Jordan GEIST,21 JUL 1998,USA,1,,"Seattle, WA (USA) (i)",27 JAN 2018,1208.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14713125,toplist
12.0,21.39,,Maksim AFONIN,06 JAN 1992,RUS,1,,Moskva (RUS) (i),13 FEB 2018,1204.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14376014,toplist
13.0,21.36,,Stipe ŽUNIĆ,13 DEC 1990,CRO,1,,Split (CRO),16 JUN 2018,1202.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14169719,toplist
14.0,21.33,,Josh AWOTUNDE,12 JUN 1995,USA,1,,"College Station, TX (USA) (i)",25 FEB 2018,1200.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14522818,toplist
14.0,21.33,,Filip MIHALJEVIĆ,31 JUL 1994,CRO,1,,Zenica (BIH),06 JUN 2018,1200.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14523988,toplist
16.0,21.31,,Payton OTTERDAHL,02 APR 1996,USA,1,,"Fargo, ND (USA) (i)",07 DEC 2018,1199.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14674710,toplist
17.0,21.27,,Tsanko ARNAUDOV,14 MAR 1992,POR,1,,Pombal (POR) (i),18 FEB 2018,1197.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14428121,toplist
18.0,21.22,,Chukwuebuka ENEKWECHI,28 JAN 1993,NGR,1,,"Charlottesville, VA (USA)",04 MAY 2018,1194.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14463876,toplist
19.0,21.15,,Mesud PEZER,27 AUG 1994,BIH,5,,"Arena Birmingham, Birmingham (GBR) (i)",03 MAR 2018,1190.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14409892,toplist
20.0,21.03,,Ryan WHITING,24 NOV 1986,USA,7,,"Arena Birmingham, Birmingham (GBR) (i)",03 MAR 2018,1182.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14254801,toplist
21.0,21.02,,Joe KOVACS,28 JUN 1989,USA,6,,"Mestský Stadion, Ostrava (CZE)",13 JUN 2018,1182.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14243308,toplist
21.0,21.02,,O'Dayne RICHARDS,14 DEC 1988,JAM,1,,Barranquilla (COL),30 JUL 2018,1182.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14329696,toplist
21.0,21.02,,Tim NEDOW,16 OCT 1990,CAN,2,,Toronto (CAN),10 AUG 2018,1182.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14364723,toplist
24.0,21.0,,Bob BERTEMES,24 MAY 1993,LUX,6,,"Olympiastadion, Berlin (GER)",07 AUG 2018,1181.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14558608,toplist
25.0,20.93,,Ashinia MILLER,06 JUN 1993,JAM,1,,Hamilton (BER),11 MAY 2018,1176.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14413488,toplist
26.0,20.88,,Denzel COMENENTIA,25 NOV 1995,NED,1,,"Knoxville, TN (USA)",12 MAY 2018,1173.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14482227,toplist
27.0,20.86,,Mostafa Amr HASSAN,16 DEC 1995,EGY,1,,"College Station, TX (USA) (i)",09 MAR 2018,1172.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14643432,toplist
27.0,20.86,,Francisco BELO,27 MAR 1991,POR,2,,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",15 AUG 2018,1172.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14380784,toplist
29.0,20.81,,Franck ELEMBA,21 JUL 1990,CGO,,,Kenitra (MAR),24 JUL 2018,1169.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14381771,toplist
30.0,20.77,,Damien BIRKINHEAD,08 APR 1993,AUS,5,,Gold Coast (AUS),09 APR 2018,1167.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14375177,toplist
31.0,20.75,,Tajinderpal Singh TOOR,13 NOV 1994,IND,1,,Jakarta (INA),25 AUG 2018,1166.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14624702,toplist
32.0,20.71,,Orazio CREMONA,01 JUL 1989,RSA,1,,Pretoria (RSA),16 MAR 2018,1163.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14325970,toplist
33.0,20.68,,Nicholas VENA,16 APR 1993,USA,1,,"West Long Branch, NJ (USA) (i)",27 JAN 2018,1162.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14425811,toplist
33.0,20.68,,Jakub SZYSZKOWSKI,21 AUG 1991,POL,4,,"Stadion Juliska, Praha (CZE)",04 JUN 2018,1162.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14374534,toplist
35.0,20.65,,Jonathan JONES,23 APR 1991,USA,3f1,,"Tucson, AZ (USA)",19 MAY 2018,1160.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14460417,toplist
36.0,20.63,,Andrzej GUDRO,08 APR 1994,POL,1,,Biala Podlaska (POL),26 MAY 2018,1159.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14454891,toplist
36.0,20.63,,Eldred HENRY,18 SEP 1994,IVB,5,,Toronto (CAN),10 AUG 2018,1159.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14532571,toplist
38.0,20.6,,Andrei Marius GAG,27 APR 1991,ROU,1,,Istanbul (TUR) (i),18 FEB 2018,1157.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14219308,toplist
39.0,20.48,,Asmir KOLAŠINAC,15 OCT 1984,SRB,1,,Sarajevo (BIH),10 JUN 2018,1150.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14225338,toplist
40.0,20.45,,Hamza ALIĆ,20 JAN 1979,BIH,3,,Zenica (BIH),06 JUN 2018,1148.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14177088,toplist
41.0,20.43,,Aliaksei NICHYPAR,10 APR 1993,BLR,1,,Brest (BLR),25 MAY 2018,1147.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14567182,toplist
42.0,20.42,,Joshua FREEMAN,22 AUG 1994,USA,6,,"Drake Stadium, Des Moines, IA (USA)",23 JUN 2018,1146.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14487183,toplist
43.0,20.41,,Garrett APPIER,15 JAN 1992,USA,2,,Hamilton (BER),11 MAY 2018,1145.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14515775,toplist
43.0,20.41,,Adrian PIPERI,20 JAN 1999,USA,1q,,"Sacramento, CA (USA)",26 MAY 2018,1145.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14713124,toplist
45.0,20.39,,Jared KERN,10 JUN 1995,USA,1,,"Terre Haute, IN (USA)",12 MAY 2018,1144.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14682741,toplist
46.0,20.37,,David PLESS,19 NOV 1990,USA,2,,"La Jolla, CA (USA)",14 APR 2018,1143.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14458703,toplist
47.0,20.36,,Frédéric DAGEE,11 DEC 1992,FRA,1,,Nice (FRA) (i),12 JAN 2018,1142.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14376029,toplist
48.0,20.34,,Fedrick DACRES,28 FEB 1994,JAM,2,,Kingston (JAM),05 MAY 2018,1141.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14414603,toplist
49.0,20.32,,Austin DROOGSMA,04 MAR 1995,USA,1,,"Gainesville, FL (USA)",31 MAR 2018,1140.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14436956,toplist
50.0,20.28,,Andrew LISKOWITZ,22 MAY 1997,USA,1,,"Fayetteville, AR (USA)",28 APR 2018,1138.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14720829,toplist
50.0,20.28,,Oghenakpobo EFEKORO,15 JUL 1996,NGR,6,,"Eugene, OR (USA)",06 JUN 2018,1138.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14678846,toplist
52.0,20.27,,Borja VIVAS,26 MAY 1984,ESP,1,,Valencia (ESP) (i),17 FEB 2018,1137.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14164687,toplist
53.0,20.26,,Osman Can ÖZDEVECI,23 AUG 1995,TUR,1,,Mersin (TUR),20 MAY 2018,1136.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14482935,toplist
54.0,20.24,,Nick DEMALINE,01 MAR 1996,USA,1,,"Geneva, OH (USA) (i)",23 FEB 2018,1135.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14601365,toplist
54.0,20.24,,Nicholas SCARVELIS,02 FEB 1993,GRE,5q2,,"Breitscheidplatz, Berlin (GER)",06 AUG 2018,1135.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14429953,toplist
56.0,20.22,,William III Edward MORRISON,23 NOV 1996,USA,1,,"Bloomington, IN (USA)",12 MAY 2018,1134.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14709100,toplist
57.0,20.15,,Brett NEELLY,22 NOV 1996,USA,1,,"Manhattan, KS (USA) (i)",08 DEC 2018,1130.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14734138,toplist
58.0,20.14,,Patrick MÜLLER,04 FEB 1996,GER,1,,Neubrandenburg (GER) (i),20 JAN 2018,1129.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14456104,toplist
58.0,20.14,,Ihor MUSIYENKO,22 AUG 1993,UKR,1,,Kamianets Podilskyi (UKR),27 APR 2018,1129.0,men_SP,2018,https://worldathletics.org/athletes/athlete=14571930,toplist
