Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat.1,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,48.97,,Shaunae MILLER-UIBO,15 APR 1994,BAH,1,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1247.0,women_400m,2018,https://worldathletics.org/athletes/athlete=14368116,toplist
2.0,49.08,,Salwa Eid NASER,23 MAY 1998,BRN,2,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1243.0,women_400m,2018,https://worldathletics.org/athletes/athlete=14643442,toplist
3.0,49.52,,Shakima WIMBLEY,23 APR 1995,USA,1,,"Drake Stadium, Des Moines, IA (USA)",23 JUN 2018,1225.0,women_400m,2018,https://worldathletics.org/athletes/athlete=14467626,toplist
4.0,49.62,,Caster SEMENYA,07 JAN 1991,RSA,2,,Ostrava (CZE),08 SEP 2018,1221.0,women_400m,2018,https://worldathletics.org/athletes/athlete=14330057,toplist
5.0,49.8,,Lynna IRBY,06 DEC 1998,USA,1,,"Eugene, OR (USA)",09 JUN 2018,1214.0,women_400m,2018,https://worldathletics.org/athletes/athlete=14486888,toplist
6.0,49.99,,Kendall ELLIS,08 MAR 1996,USA,1,,"Palo Alto, CA (USA)",13 MAY 2018,1206.0,women_400m,2018,https://worldathletics.org/athletes/athlete=14443893,toplist
7.0,50.07,,Sydney MCLAUGHLIN,07 AUG 1999,USA,1f1,,"Gainesville, FL (USA)",30 MAR 2018,1203.0,women_400m,2018,https://worldathletics.org/athletes/athlete=14624749,toplist
7.0,50.07,,Phyllis FRANCIS,04 MAY 1992,USA,2,,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1203.0,women_400m,2018,https://worldathletics.org/athletes/athlete=14310414,toplist
9.0,50.08,,Jessica BEARD,08 JAN 1989,USA,2,,"Drake Stadium, Des Moines, IA (USA)",23 JUN 2018,1202.0,women_400m,2018,https://worldathletics.org/athletes/athlete=14305526,toplist
10.0,50.15,,Amantle MONTSHO,04 JUL 1983,BOT,1,,Gold Coast (AUS),11 APR 2018,1199.0,women_400m,2018,https://worldathletics.org/athletes/athlete=14269474,toplist
