Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat.1,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,68.92,,Kathryn MITCHELL,10 JUL 1982,AUS,1,,Gold Coast (AUS),11 APR 2018,1244.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14271632,toplist
2.0,67.9,,Christin HUSSONG,17 MAR 1994,GER,1,,"Olympiastadion, Berlin (GER)",10 AUG 2018,1225.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14372241,toplist
3.0,67.69,,Huihui LYU,26 JUN 1989,CHN,1,,Halle (GER),26 MAY 2018,1221.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14265696,toplist
4.0,67.47,,Tatsiana KHALADOVICH,21 JUN 1991,BLR,1,,"Bislett Stadion, Oslo (NOR)",07 JUN 2018,1217.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14269852,toplist
5.0,67.12,,Shiying LIU,24 SEP 1993,CHN,1,,"Yanmar Stadium Nagai, Osaka (JPN)",20 MAY 2018,1210.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14430159,toplist
6.0,66.53,,Marcelina WITEK,02 JUN 1995,POL,1,,Bialogard (POL),05 MAY 2018,1199.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14417579,toplist
7.0,66.1,,Martina RATEJ,02 NOV 1981,SLO,1,,Celje (SLO),14 JUL 2018,1191.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14300230,toplist
8.0,65.61,,Nikola OGRODNÍKOVÁ,18 AUG 1990,CZE,1,,Potchefstroom (RSA),12 APR 2018,1182.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14262856,toplist
9.0,65.2,,Eda TUĞSUZ,27 MAR 1997,TUR,1,,Mersin (TUR),18 FEB 2018,1174.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14590157,toplist
10.0,64.75,,Kara WINGER,10 APR 1986,USA,3,,"Letzigrund, Zürich (SUI)",30 AUG 2018,1166.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14318617,toplist
11.0,64.57,,Kelsey-Lee BARBER,20 SEP 1991,AUS,1,,Brisbane (AUS),28 MAR 2018,1163.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14336705,toplist
12.0,63.18,,Līna MŪZE,04 DEC 1992,LAT,1,,Riga (LAT),28 JUL 2018,1137.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14334855,toplist
13.0,62.98,,Madara PALAMEIKA,18 JUN 1987,LAT,1,,Riga (LAT),29 MAY 2018,1133.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14290055,toplist
14.0,62.58,,Anete KOCIŅA,05 FEB 1996,LAT,2,,Riga (LAT),29 MAY 2018,1126.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14475585,toplist
15.0,62.46,,Sunette VILJOEN,06 OCT 1983,RSA,1,,Sasolburg (RSA),27 MAR 2018,1124.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14297120,toplist
16.0,62.42,,Sigrid BORGE,03 DEC 1995,NOR,1f1,,Leiria (POR),10 MAR 2018,1123.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14481209,toplist
17.0,62.39,,Laila FERRER,30 JUL 1982,BRA,,,Zagreb (CRO),29 JUL 2018,1122.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14269171,toplist
18.0,62.21,,Sinta SPRUDZĀNE,26 FEB 1988,LAT,1,,Ogre (LAT),15 JUN 2018,1119.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14290053,toplist
19.0,61.91,,Katharina MOLITOR,08 NOV 1983,GER,4,,Luzern (SUI),09 JUL 2018,1113.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14278931,toplist
20.0,61.61,,Liveta JASIŪNAITĖ,26 JUL 1994,LTU,2,,Ogre (LAT),15 JUN 2018,1108.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14417641,toplist
21.0,61.53,,Elizabeth GLEADLE,05 DEC 1988,CAN,5,,"Shanghai Stadium, Shanghai (CHN)",12 MAY 2018,1106.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14267948,toplist
22.0,61.25,,Lidia PARADA,11 JUN 1993,ESP,1,,Getafe (ESP),21 JUL 2018,1101.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14375951,toplist
23.0,61.21,,Lingdan SU,12 JAN 1997,CHN,2,,Taiyuan (CHN),14 SEP 2018,1100.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14694433,toplist
24.0,60.79,,Marina SAITO,15 OCT 1995,JPN,1,,Yamaguchi (JPN),23 JUN 2018,1093.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14547924,toplist
25.0,60.71,,Risa MIYASHITA,26 APR 1984,JPN,4,,"Yanmar Stadium Nagai, Osaka (JPN)",20 MAY 2018,1091.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14418697,toplist
26.0,60.6,,Dana BERGRATH,24 APR 1994,GER,5,,Luzern (SUI),09 JUL 2018,1089.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14401044,toplist
26.0,60.6,,Marija VUČENOVIĆ,03 APR 1993,SRB,1,,Stara Zagora (BUL),20 JUL 2018,1089.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14372662,toplist
28.0,60.59,,Alexie ALAÏS,09 OCT 1994,FRA,2,,Aix-les-Bains (FRA),20 MAY 2018,1089.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14428592,toplist
28.0,60.59,,Sofi FLINK,08 JUL 1995,SWE,1,,Joensuu (FIN),04 JUL 2018,1089.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14428373,toplist
30.0,60.51,,Irena ŠEDIVÁ,19 JAN 1992,CZE,1,,Potchefstroom (RSA),19 APR 2018,1087.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14328010,toplist
31.0,60.48,,Haruka KITAGUCHI,16 MAR 1998,JPN,1,,Kawasaki (JPN),08 SEP 2018,1087.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14649131,toplist
32.0,60.36,,Mackenzie LITTLE,22 DEC 1996,AUS,1,,"Eugene, OR (USA)",07 JUN 2018,1085.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14464527,toplist
33.0,60.34,,Ásdís HJÁLMSDÓTTIR,28 OCT 1985,ISL,2,,Joensuu (FIN),04 JUL 2018,1084.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14283446,toplist
34.0,60.29,,Yulenmis AGUILAR,03 AUG 1996,CUB,1,,La Habana (CUB),09 JUN 2018,1083.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14518738,toplist
35.0,60.24,,Vera REBRIK,25 FEB 1989,RUS,1,,"Adler, Sochi (RUS)",15 MAY 2018,1082.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14304081,toplist
36.0,60.21,,Hanna HATSKO-FEDUSOVA,03 OCT 1990,UKR,3,,Riga (LAT),29 MAY 2018,1082.0,women_JT,2018,https://worldathletics.org/athletes/athlete=14303628,toplist
