Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat.1,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,7.05,1.2,Lorraine UGEN,22 AUG 1991,GBR,1,,Birmingham (GBR),01 JUL 2018,1229.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14360085,toplist
2.0,6.99,0.6,Malaika MIHAMBO,03 FEB 1994,GER,1f1,,Weinheim (GER),26 MAY 2018,1216.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14377384,toplist
2.0,6.99,1.8,Ivana ŠPANOVIĆ,10 MAY 1990,SRB,,,Tarragona (ESP),27 JUN 2018,1216.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14300421,toplist
4.0,6.93,0.8,Caterine IBARGUEN,12 FEB 1984,COL,1,,Ostrava (CZE),09 SEP 2018,1202.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14263994,toplist
5.0,6.92,,Khaddi SAGNIA,20 APR 1994,SWE,1,,"Emirates Arena, Glasgow (GBR) (i)",25 FEB 2018,1200.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14377776,toplist
5.0,6.92,1.8,Christabel NETTEY,02 JUN 1991,CAN,1,,Brisbane (AUS),28 MAR 2018,1200.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14267452,toplist
7.0,6.91,0.2,Shara PROCTOR,16 SEP 1988,GBR,1,,"Olympic Stadium, London (GBR)",21 JUL 2018,1198.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14272929,toplist
8.0,6.89,,Brittney REESE,09 SEP 1986,USA,2,,"Arena Birmingham, Birmingham (GBR) (i)",04 MAR 2018,1194.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14319645,toplist
9.0,6.88,1.9,Brooke STRATTON,12 JUL 1993,AUS,2,,Brisbane (AUS),28 MAR 2018,1191.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14271241,toplist
10.0,6.86,0.2,Jazmin SAWYERS,21 MAY 1994,GBR,2,,Birmingham (GBR),01 JUL 2018,1187.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14372810,toplist
11.0,6.85,,Sosthene MOGUENARA-TAROUM,17 OCT 1989,GER,3,,"Arena Birmingham, Birmingham (GBR) (i)",04 MAR 2018,1185.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14278923,toplist
12.0,6.83,0.5,Ese BRUME,20 JAN 1996,NGR,1,,"Stephen Keshi Stadium, Asaba (NGR)",03 AUG 2018,1180.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14591118,toplist
13.0,6.81,,Quanesha BURKS,15 MAR 1995,USA,4,,"Arena Birmingham, Birmingham (GBR) (i)",04 MAR 2018,1176.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14490255,toplist
13.0,6.81,0.8,Keturah ORJI,05 MAR 1996,USA,1,,"Knoxville, TN (USA)",12 MAY 2018,1176.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14503156,toplist
13.0,6.81,0.5,Krystyna HRYSHUTYNA,21 MAR 1992,UKR,2,,Lutsk (UKR),19 JUL 2018,1176.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14361729,toplist
16.0,6.8,1.2,Éloyse LESUEUR-AYMONIN,15 JUL 1988,FRA,2,,Marseille (FRA),16 JUN 2018,1174.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14256638,toplist
16.0,6.8,1.3,Juliet ITOYA,17 AUG 1986,ESP,1,,Getafe (ESP),21 JUL 2018,1174.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14261277,toplist
18.0,6.78,1.2,Taliyah BROOKS,08 FEB 1995,USA,1,,"Fayetteville, AR (USA)",24 MAR 2018,1169.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14437075,toplist
19.0,6.77,2.0,Kylie PRICE,23 NOV 1993,USA,3,,"Chula Vista, CA (USA)",19 MAY 2018,1167.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14371099,toplist
19.0,6.77,-0.1,Sha'keela SAUNDERS,12 DEC 1993,USA,1,,"Bregyó Athletic Center, Székesfehérvár (HUN)",02 JUL 2018,1167.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14320623,toplist
19.0,6.77,0.6,Nastassia MIRONCHYK-IVANOVA,13 APR 1989,BLR,1,,Minsk (BLR),21 JUL 2018,1167.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14269729,toplist
22.0,6.75,0.0,Chanice PORTER,25 MAY 1994,JAM,1,,"Athens, GA (USA)",05 MAY 2018,1163.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14334016,toplist
23.0,6.74,0.1,Bianca STUART,17 MAY 1988,BAH,1,,"Douglasville, GA (USA)",27 MAY 2018,1160.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14270615,toplist
23.0,6.74,0.1,Tianna BARTOLETTA,30 AUG 1985,USA,1,,Padova (ITA),08 JUN 2018,1160.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14315831,toplist
25.0,6.73,,Kate HALL,12 JAN 1997,USA,1,,"College Station, TX (USA) (i)",09 MAR 2018,1158.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14490051,toplist
25.0,6.73,-0.1,Maryna BEKH-ROMANCHUK,18 JUL 1995,UKR,2,,"Olympiastadion, Berlin (GER)",11 AUG 2018,1158.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14434131,toplist
27.0,6.72,1.7,Nektaria PANAGI,20 MAR 1990,CYP,1,,Argos Orestiko (GRE),04 JUL 2018,1156.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14263291,toplist
27.0,6.72,1.3,Alina ROTARU,05 JUN 1993,ROU,1,,Pitesti (ROU),27 JUL 2018,1156.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14364637,toplist
29.0,6.71,,Katarina JOHNSON-THOMPSON,09 JAN 1993,GBR,1,,Birmingham (GBR) (i),17 FEB 2018,1154.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14276543,toplist
29.0,6.71,-0.7,Tara DAVIS,20 MAY 1999,USA,1,,"Bloomington, IN (USA)",16 JUN 2018,1158.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14596561,toplist
31.0,6.7,0.4,Nadja KÄTHER,29 SEP 1988,GER,3f1,,Weinheim (GER),26 MAY 2018,1152.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14278274,toplist
31.0,6.7,2.0,Yelena SOKOLOVA,23 JUL 1986,RUS,1,,Zhukovskiy (RUS),01 JUL 2018,1152.0,women_LJ,2018,https://worldathletics.org/athletes/athlete=14299421,toplist
