Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,8.68,1.7,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,1,,Bad Langensalza (GER),30 JUN 2018,1287.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14674278,toplist
2.0,8.58,0.0,Luvo MANYONGA,08 JAN 1991,RSA,1,,"Stadio Olimpico, Roma (ITA)",31 MAY 2018,1265.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14365377,toplist
3.0,8.47,0.7,Jianan WANG,27 AUG 1996,CHN,1,,Guiyang (CHN),16 JUN 2018,1240.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14514470,toplist
4.0,8.45,-1.2,Ruswahl SAMAAI,25 SEP 1991,RSA,1,,"Stephen Keshi Stadium, Asaba (NGR)",02 AUG 2018,1243.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14417696,toplist
5.0,8.44,0.5,Jeff HENDERSON,19 FEB 1989,USA,1,,"Provo, UT (USA)",28 APR 2018,1234.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14240453,toplist
6.0,8.43,0.7,Yuhao SHI,26 SEP 1998,CHN,2,,"Shanghai Stadium, Shanghai (CHN)",12 MAY 2018,1232.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14714402,toplist
7.0,8.42,,Marquis DENDY,17 NOV 1992,USA,3,,"Arena Birmingham, Birmingham (GBR) (i)",02 MAR 2018,1229.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14374165,toplist
8.0,8.41,2.0,Aleksandr MENKOV,07 DEC 1990,RUS,1,,Zhukovskiy (RUS),01 JUL 2018,1227.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14941413,toplist
9.0,8.4,1.1,Zarck VISSER,15 SEP 1989,RSA,4,,Bad Langensalza (GER),30 JUN 2018,1225.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14221485,toplist
10.0,8.38,,Jarrion LAWSON,06 MAY 1994,USA,1,,"Albuquerque, NM (USA) (i)",17 FEB 2018,1221.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14443773,toplist
11.0,8.37,1.9,Zack BAZILE,07 JAN 1996,USA,1,,"Eugene, OR (USA)",06 JUN 2018,1219.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14566616,toplist
12.0,8.34,1.1,Henry FRAYNE,14 APR 1990,AUS,1q2,,Gold Coast (AUS),10 APR 2018,1212.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14179673,toplist
13.0,8.29,0.4,Yaoguang ZHANG,21 JUN 1993,CHN,2,,Guiyang (CHN),16 JUN 2018,1201.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14420860,toplist
14.0,8.27,0.8,Jarvis GOTCH,25 MAR 1992,USA,1,,"Torrance, CA (USA)",21 APR 2018,1197.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14485105,toplist
14.0,8.27,1.2,Radek JUŠKA,08 MAR 1993,CZE,1,,Turnov (CZE),29 MAY 2018,1197.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14403432,toplist
16.0,8.26,0.7,Emiliano LASA,25 JAN 1990,URU,1,,Cochabamba (BOL),05 JUN 2018,1194.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14374159,toplist
17.0,8.25,-0.3,Miltiadis TENTOGLOU,18 MAR 1998,GRE,1,,"Olympiastadion, Berlin (GER)",08 AUG 2018,1193.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14669734,toplist
18.0,8.24,-0.3,Tajay GAYLE,02 AUG 1996,JAM,2,,Toronto (CAN),12 AUG 2018,1191.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14631861,toplist
19.0,8.23,1.5,Andwuelle WRIGHT,08 AUG 1997,TTO,1,,Port-of-Spain (TTO),23 JUN 2018,1188.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14520434,toplist
19.0,8.23,1.0,Serhiy NYKYFOROV,06 FEB 1994,UKR,1,,Lutsk (UKR),19 JUL 2018,1188.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14570923,toplist
21.0,8.2,0.5,Stephan HARTMANN,13 JAN 1994,GER,1f1,,Weinheim (GER),26 MAY 2018,1181.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14390052,toplist
21.0,8.2,0.3,Julian HOWARD,03 APR 1989,GER,2f1,,Weinheim (GER),26 MAY 2018,1181.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14192596,toplist
21.0,8.2,0.0,SREESHANKAR,27 MAR 1999,IND,1,,Bhubaneshwar (IND),27 SEP 2018,1181.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14734673,toplist
24.0,8.19,,William WILLIAMS,31 JAN 1995,USA,1,,"College Station, TX (USA) (i)",09 MAR 2018,1179.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14613733,toplist
24.0,8.19,1.0,Changzhou HUANG,20 AUG 1994,CHN,3,,Guiyang (CHN),16 JUN 2018,1179.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14502006,toplist
24.0,8.19,1.9,Alexsandro MELO,26 SEP 1995,BRA,1,,Bragança Paulista (BRA),16 SEP 2018,1179.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14543320,toplist
27.0,8.18,,Michael HARTFIELD,29 MAR 1990,USA,3,,"Albuquerque, NM (USA) (i)",17 FEB 2018,1177.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14364544,toplist
27.0,8.18,1.6,Terell MCCLAIN,10 NOV 1995,USA,2f9,,"Long Beach, CA (USA)",21 APR 2018,1177.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14649726,toplist
27.0,8.18,1.9,Corey CRAWFORD,12 DEC 1991,USA,1,,"Chula Vista, CA (USA)",09 JUN 2018,1177.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14417006,toplist
30.0,8.17,0.6,Grant HOLLOWAY,19 NOV 1997,USA,,,"Knoxville, TN (USA)",12 MAY 2018,1175.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14516985,toplist
31.0,8.15,0.5,Dan BRAMBLE,14 OCT 1990,GBR,6,,"Olympic Stadium, London (GBR)",22 JUL 2018,1170.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14401178,toplist
32.0,8.14,1.1,Jared KERR,25 JUN 1995,CAN,1,,"Cincinnati, OH (USA)",12 MAY 2018,1168.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14501312,toplist
32.0,8.14,1.8,Janaka PRASAD,08 SEP 1992,SRI,1,,Colombo (SRI),05 AUG 2018,1168.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14606673,toplist
34.0,8.13,0.8,Kafétien GOMIS,23 MAR 1980,FRA,1,,Albi (FRA),08 JUL 2018,1166.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14185073,toplist
34.0,8.13,0.2,Ramone BAILEY,31 OCT 1991,JAM,3,,London (GBR),15 JUL 2018,1166.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14364598,toplist
34.0,8.13,-0.2,Fabian HEINLE,14 MAY 1994,GER,2,,"Olympiastadion, Berlin (GER)",08 AUG 2018,1167.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14484413,toplist
37.0,8.12,,Paulo Sérgio OLIVEIRA,01 JUN 1993,BRA,1,,Sâo Caetano do Sul (BRA) (i),17 JAN 2018,1164.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14434370,toplist
37.0,8.12,,Charles BROWN,28 MAY 1997,USA,3,,"College Station, TX (USA) (i)",09 MAR 2018,1164.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14644387,toplist
37.0,8.12,-0.7,Cheswill JOHNSON,30 SEP 1997,RSA,2,,Paarl (RSA),22 MAR 2018,1168.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14741320,toplist
37.0,8.12,0.8,Damarcus SIMPSON,14 JUL 1993,USA,,,"Palo Alto, CA (USA)",12 MAY 2018,1164.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14475042,toplist
37.0,8.12,0.0,Maikel Yorges VIDAL,06 JAN 2000,CUB,1,,La Habana (CUB),08 JUN 2018,1164.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14663419,toplist
42.0,8.1,1.6,Fabian Ime EDOKI,30 MAR 1998,NGR,1,,"Abilene, TX (USA)",24 MAR 2018,1160.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14579482,toplist
42.0,8.1,1.0,Tomasz JASZCZUK,09 MAR 1992,POL,1,,Lublin (POL),22 JUL 2018,1160.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14216774,toplist
42.0,8.1,0.1,Thobias NILSSON MONTLER,15 FEB 1996,SWE,4,,"Olympiastadion, Berlin (GER)",08 AUG 2018,1160.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14487329,toplist
45.0,8.09,,Cristian Iulian STAICU,30 JUL 1993,ROU,1,,Bucureşti (ROU) (i),04 FEB 2018,1157.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14568380,toplist
45.0,8.09,1.3,Lei XIE,08 MAY 1989,CHN,4,,Guiyang (CHN),16 JUN 2018,1157.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14462150,toplist
45.0,8.09,1.2,Yuki HASHIOKA,23 JAN 1999,JPN,1,,Yamaguchi (JPN),23 JUN 2018,1157.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14719623,toplist
45.0,8.09,1.0,Yahya BERRABAH,13 OCT 1981,MAR,,,"Stephen Keshi Stadium, Asaba (NGR)",02 AUG 2018,1157.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14211903,toplist
45.0,8.09,0.0,Sanapiah SAPWATURAHMAN,13 MAY 1994,INA,3,,Jakarta (INA),26 AUG 2018,1157.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14432152,toplist
50.0,8.07,,Damar FORBES,11 SEP 1990,JAM,1,,"Iowa City, IA (USA) (i)",19 JAN 2018,1153.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14366240,toplist
50.0,8.07,0.0,Lester LESCAY,15 OCT 2001,CUB,2,,La Habana (CUB),08 JUN 2018,1153.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14742125,toplist
50.0,8.07,1.3,Vladyslav MAZUR,21 NOV 1996,UKR,2,,Lutsk (UKR),19 JUL 2018,1153.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14570936,toplist
50.0,8.07,0.2,Emanuel ARCHIBALD,09 SEP 1994,GUY,1,,Leonora (GUY),21 JUL 2018,1153.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14747754,toplist
