Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat.1,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,20.38,,Lijiao GONG,24 JAN 1989,CHN,1,,Guiyang (CHN),17 JUN 2018,1231.0,women_SP,2018,https://worldathletics.org/athletes/athlete=14266426,toplist
2.0,19.78,,Christina SCHWANITZ,24 DEC 1985,GER,1,,Biberach (GER),09 JUL 2018,1194.0,women_SP,2018,https://worldathletics.org/athletes/athlete=14279753,toplist
3.0,19.74,,Raven SAUNDERS,15 MAY 1996,USA,2,,Ostrava (CZE),09 SEP 2018,1191.0,women_SP,2018,https://worldathletics.org/athletes/athlete=14615321,toplist
4.0,19.62,,Anita MÁRTON,15 JAN 1989,HUN,1,,"Arena Birmingham, Birmingham (GBR) (i)",02 MAR 2018,1184.0,women_SP,2018,https://worldathletics.org/athletes/athlete=14282022,toplist
5.0,19.46,,Maggie EWEN,23 SEP 1994,USA,1,,"Tucson, AZ (USA)",28 APR 2018,1174.0,women_SP,2018,https://worldathletics.org/athletes/athlete=14426023,toplist
6.0,19.38,,Paulina GUBA,14 MAY 1991,POL,1,,"Stadion OPO Cetniewo, Władysławowo (POL)",08 JUL 2018,1169.0,women_SP,2018,https://worldathletics.org/athletes/athlete=14941418,toplist
7.0,19.36,,Danniel THOMAS-DODD,11 NOV 1992,JAM,1,,Gold Coast (AUS),13 APR 2018,1167.0,women_SP,2018,https://worldathletics.org/athletes/athlete=14468647,toplist
8.0,19.31,,Valerie ADAMS,06 OCT 1984,NZL,4,,"Stade Louis II, Monaco (MON)",19 JUL 2018,1164.0,women_SP,2018,https://worldathletics.org/athletes/athlete=14292861,toplist
9.0,19.23,,Jessica RAMSEY,26 JUL 1991,USA,2,,"Drake Stadium, Des Moines, IA (USA)",24 JUN 2018,1159.0,women_SP,2018,https://worldathletics.org/athletes/athlete=14439750,toplist
10.0,19.21,,Aliona DUBITSKAYA,25 JAN 1990,BLR,2,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1158.0,women_SP,2018,https://worldathletics.org/athletes/athlete=14269885,toplist
11.0,18.95,,Radoslava MAVRODIEVA,13 MAR 1987,BUL,1,,Stara Zagora (BUL),20 JUL 2018,1142.0,women_SP,2018,https://worldathletics.org/athletes/athlete=14268633,toplist
12.0,18.77,,Yang GAO,01 MAR 1993,CHN,4,,"Arena Birmingham, Birmingham (GBR) (i)",02 MAR 2018,1131.0,women_SP,2018,https://worldathletics.org/athletes/athlete=14514468,toplist
13.0,18.7,,Monique RIDDICK,08 NOV 1989,USA,1,,"West Point, NY (USA)",10 MAY 2018,1126.0,women_SP,2018,https://worldathletics.org/athletes/athlete=14325936,toplist
14.0,18.68,,Fanny ROOS,02 JAN 1995,SWE,1,,"La Jolla, CA (USA)",14 APR 2018,1125.0,women_SP,2018,https://worldathletics.org/athletes/athlete=14429853,toplist
14.0,18.68,,Jessica WOODARD,04 FEB 1995,USA,2,,"Eugene, OR (USA)",07 JUN 2018,1125.0,women_SP,2018,https://worldathletics.org/athletes/athlete=14437128,toplist
16.0,18.63,,Melissa BOEKELMAN,11 MAY 1989,NED,1,,Vught (NED),15 SEP 2018,1122.0,women_SP,2018,https://worldathletics.org/athletes/athlete=14291507,toplist
