Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat.1,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,92.7,,Johannes VETTER,26 MAR 1993,GER,1f1,,Leiria (POR),11 MAR 2018,1282.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14408144,toplist
2.0,92.06,,Andreas HOFMANN,16 DEC 1991,GER,1,,Offenburg (GER),02 JUN 2018,1273.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14372011,toplist
3.0,91.78,,Thomas RÖHLER,30 SEP 1991,GER,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1269.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14379257,toplist
4.0,89.75,,Magnus KIRT,10 APR 1990,EST,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1240.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14181008,toplist
5.0,89.02,,Jakub VADLEJCH,10 OCT 1990,CZE,1,,"Stadion Juliska, Praha (CZE)",04 JUN 2018,1230.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14168152,toplist
6.0,88.06,,Neeraj CHOPRA,24 DEC 1997,IND,1,,Jakarta (INA),27 AUG 2018,1216.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14549089,toplist
7.0,88.02,,Oliver HELANDER,01 JAN 1997,FIN,1,,Pietarsaari (FIN),07 JUL 2018,1215.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14488071,toplist
8.0,86.63,,Julian WEBER,29 AUG 1994,GER,2,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1196.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14420076,toplist
9.0,86.37,,Alexandru Mihăiță NOVAC,24 MAR 1997,ROU,1,,Nembro (ITA),05 JUL 2018,1192.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14575270,toplist
10.0,85.46,,Paraskevas BATZAVALIS,25 NOV 1994,GRE,1,,Tripoli (GRE),05 MAY 2018,1179.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14480202,toplist
11.0,85.38,,Dmitriy TARABIN,29 OCT 1991,RUS,1,,Zhukovskiy (RUS),13 JUN 2018,1178.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14940426,toplist
12.0,85.32,,Marcin KRUKOWSKI,14 JUN 1992,POL,5,,"Letzigrund, Zürich (SUI)",30 AUG 2018,1177.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14336191,toplist
13.0,85.17,,Bernhard SEIFERT,15 FEB 1993,GER,3,,Offenburg (GER),02 JUN 2018,1175.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14420080,toplist
14.0,84.96,,Keshorn WALCOTT,02 APR 1993,TTO,1,,Port-of-Spain (TTO),23 JUN 2018,1172.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14376122,toplist
15.0,84.8,,Rolands ŠTROBINDERS,14 APR 1992,LAT,1,,Ventspils (LAT),02 JUN 2018,1170.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14420776,toplist
16.0,84.6,,Chao-Tsun CHENG,17 OCT 1993,TPE,1,,Karlstad (SWE),21 JUL 2018,1167.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14376112,toplist
17.0,84.43,,Andrian MARDARE,20 JUN 1995,MDA,2,,"Stadion Juliska, Praha (CZE)",04 JUN 2018,1164.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14512244,toplist
18.0,83.89,,Gatis ČAKŠS,13 JUN 1995,LAT,1,,Riga (LAT),29 MAY 2018,1157.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14478061,toplist
19.0,83.85,,Petr FRYDRYCH,13 JAN 1988,CZE,1,,Kladno (CZE),29 JUL 2018,1156.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14168938,toplist
19.0,83.85,,Cyprian MRZYGŁÓD,02 FEB 1998,POL,3q2,,"Olympiastadion, Berlin (GER)",08 AUG 2018,1156.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14645504,toplist
21.0,83.71,,Ahmed Bader MAGOUR,03 MAR 1996,QAT,7,,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1154.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14709346,toplist
22.0,83.63,,Hamish PEACOCK,15 OCT 1990,AUS,1,,Hobart (AUS),05 JAN 2018,1153.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14178999,toplist
23.0,82.82,,Anderson PETERS,21 OCT 1997,GRN,1,,"Eugene, OR (USA)",06 JUN 2018,1141.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14520432,toplist
24.0,82.67,,Edis MATUSEVIČIUS,30 JUN 1996,LTU,3,,Ogre (LAT),15 JUN 2018,1139.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14522112,toplist
25.0,82.64,,Tero PITKÄMÄKI,19 DEC 1982,FIN,2,,Vantaa (FIN),26 MAY 2018,1139.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14182408,toplist
26.0,82.59,,Antti RUUSKANEN,21 FEB 1984,FIN,2,,Joensuu (FIN),04 JUL 2018,1138.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14182495,toplist
27.0,82.46,,Qun MA,08 FEB 1994,CHN,1,,Guiyang (CHN),15 JUN 2018,1136.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14441114,toplist
28.0,82.36,,Tanel LAANMÄE,29 SEP 1989,EST,1,,Kladno (CZE),14 JUL 2018,1135.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14181036,toplist
29.0,82.3,,Vítězslav VESELÝ,27 FEB 1983,CZE,2,,Radom (POL),27 MAY 2018,1134.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14168124,toplist
30.0,82.28,,Shivpal SINGH,06 JUL 1995,IND,1,,Guwahati (IND),28 JUN 2018,1134.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14722564,toplist
31.0,82.22,,Qizhen LIU,17 SEP 1995,CHN,2,,Jakarta (INA),27 AUG 2018,1133.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14748794,toplist
32.0,82.05,,Pavel MIALESHKA,24 NOV 1992,BLR,4,,Rehlingen (GER),20 MAY 2018,1130.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14407058,toplist
33.0,81.45,,David CARREON,23 MAR 1994,MEX,1,,"Tucson, AZ (USA)",17 MAY 2018,1122.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14523024,toplist
34.0,81.44,,Jaroslav JÍLEK,22 OCT 1989,CZE,3,,"Stadion Juliska, Praha (CZE)",04 JUN 2018,1122.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14168765,toplist
35.0,81.4,,Arley IBARGUEN,17 OCT 1982,COL,1,,Cali (COL),14 APR 2018,1121.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14170102,toplist
36.0,81.22,,D. G. Sampath RANASINGHE,01 SEP 1988,SRI,1,,Diyagama (SRI),27 JAN 2018,1119.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14550090,toplist
37.0,81.06,,Bartosz OSEWSKI,13 APR 1991,POL,2,,Warszawa (POL),14 JUL 2018,1116.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14380323,toplist
38.0,80.91,,Julius YEGO,04 JAN 1989,KEN,1,,Nairobi (KEN),21 JUN 2018,1114.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14376567,toplist
38.0,80.91,,Sindri Hrafn GUÐMUNDSSON,21 NOV 1995,ISL,4f1,,Jena (GER),30 JUN 2018,1114.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14433045,toplist
40.0,80.83,,Ryohei ARAI,23 JUN 1991,JPN,1,,Sapporo (JPN),08 JUL 2018,1113.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14475539,toplist
41.0,80.75,,Arshad NADEEM,02 JAN 1997,PAK,3,,Jakarta (INA),27 AUG 2018,1112.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14698105,toplist
42.0,80.64,,Odei JAINAGA,14 OCT 1997,ESP,1,,Castellón (ESP),17 FEB 2018,1110.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14742275,toplist
42.0,80.64,,Dawid KOŚCIÓW,05 JUN 1990,POL,3,,Lublin (POL),20 JUL 2018,1110.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14376725,toplist
44.0,80.63,,Rajender SINGH,05 APR 1986,IND,2,,Guwahati (IND),28 JUN 2018,1110.0,men_JT,2018,https://worldathletics.org/athletes/athlete=14198418,toplist
