Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,4.95,,Sandi MORRIS,08 JUL 1992,USA,1,,"Arena Birmingham, Birmingham (GBR) (i)",03 MAR 2018,1255.0,women_PV,2018,https://worldathletics.org/athletes/athlete=14373498,toplist
2.0,4.94,,Eliza MCCARTNEY,11 DEC 1996,NZL,1f1,,Jockgrim (GER),17 JUL 2018,1252.0,women_PV,2018,https://worldathletics.org/athletes/athlete=14464500,toplist
3.0,4.93,,Jennifer SUHR,05 FEB 1982,USA,1f2,,"Austin, TX (USA)",14 APR 2018,1249.0,women_PV,2018,https://worldathletics.org/athletes/athlete=14322231,toplist
4.0,4.91,,Katie NAGEOTTE,13 JUN 1991,USA,1,,"Albuquerque, NM (USA) (i)",18 FEB 2018,1242.0,women_PV,2018,https://worldathletics.org/athletes/athlete=14373744,toplist
5.0,4.9,,Anzhelika SIDOROVA,28 JUN 1991,ANA,2,,"Arena Birmingham, Birmingham (GBR) (i)",03 MAR 2018,1239.0,women_PV,2018,https://worldathletics.org/athletes/athlete=14299350,toplist
6.0,4.87,,Aikaterini STEFANIDI,04 FEB 1990,GRE,1,,"Letzigrund, Zürich (SUI)",30 AUG 2018,1230.0,women_PV,2018,https://worldathletics.org/athletes/athlete=14280914,toplist
7.0,4.8,,Holly BRADSHAW,02 NOV 1991,GBR,3f1,,Jockgrim (GER),17 JUL 2018,1208.0,women_PV,2018,https://worldathletics.org/athletes/athlete=14371556,toplist
7.0,4.8,,Yarisley SILVA,01 JUN 1987,CUB,2,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1208.0,women_PV,2018,https://worldathletics.org/athletes/athlete=14263377,toplist
7.0,4.8,,Nikoleta KYRIAKOPOULOU,21 MAR 1986,GRE,2,,"Olympiastadion, Berlin (GER)",09 AUG 2018,1208.0,women_PV,2018,https://worldathletics.org/athletes/athlete=14280697,toplist
10.0,4.75,,Alysha NEWMAN,29 JUN 1994,CAN,1,,Gold Coast (AUS),13 APR 2018,1192.0,women_PV,2018,https://worldathletics.org/athletes/athlete=14376225,toplist
10.0,4.75,,Ninon GUILLON-ROMARIN,15 APR 1995,FRA,8,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1192.0,women_PV,2018,https://worldathletics.org/athletes/athlete=14447178,toplist
12.0,4.73,,Angelica BENGTSSON,08 JUL 1993,SWE,1,,Karlstad (SWE),25 JUL 2018,1186.0,women_PV,2018,https://worldathletics.org/athletes/athlete=14301706,toplist
13.0,4.71,,Nina KENNEDY,05 APR 1997,AUS,1,,Perth (AUS),09 FEB 2018,1180.0,women_PV,2018,https://worldathletics.org/athletes/athlete=14407592,toplist
14.0,4.7,,Robeilys PEINADO,26 NOV 1997,VEN,1,,Cochabamba (BOL),07 JUN 2018,1177.0,women_PV,2018,https://worldathletics.org/athletes/athlete=14497034,toplist
