discipline,year,athlete_name,place,mark,nationality
men_100m,2026,Oblique SEVILLE,1,9.90,JAM
men_100m,2026,Emmanuel ESEME,2,9.93,CMR
men_100m,2026,Kayinsola AJAYI,3,9.97,NGR
men_100m,2026,Lachlan KENNEDY,4,9.99,AUS
men_100m,2026,Gift LEOTLELA,5,10.01,RSA
men_100m,2026,Christian COLEMAN,6,10.01,USA
men_100m,2026,Akani SIMBINE,7,10.03,RSA
men_100m,2026,Trayvon BROMELL,8,10.07,USA
men_400m,2026,Busang Collen KEBINATSHIPI,1,43.40,BOT
men_400m,2026,Jereem RICHARDS,2,43.68,TTO
men_400m,2026,Jacory PATTERSON,3,43.78,USA
men_400m,2026,Chris BAILEY,4,43.97,USA
men_400m,2026,Matthew HUDSON-SMITH,5,44.23,GBR
men_400m,2026,Zakithi NENE,6,44.44,RSA
men_400m,2026,Khaleb MCRAE,8,45.53,USA
men_800m,2026,Emmanuel WANYONYI,1,1:41.80,KEN
men_800m,2026,Djamel SEDJATI,2,1:42.71,ALG
men_800m,2026,Yanis MEZIANE,3,1:42.87,FRA
men_800m,2026,Marco AROP,4,1:43.50,CAN
men_800m,2026,Ben PATTISON,5,1:44.29,GBR
men_800m,2026,Gabriel TUAL,6,1:44.55,FRA
men_800m,2026,Tobias GRØNSTAD,7,1:44.86,NOR
men_800m,2026,Slimane MOULA,8,1:49.62,ALG
men_1500m,2026,Cameron MYERS,1,3:30.14,AUS
men_1500m,2026,Phanuel Kipkosgei KOECH,2,3:30.18,KEN
men_1500m,2026,Ethan STRAND,3,3:30.50,USA
men_1500m,2026,Jakob INGEBRIGTSEN,4,3:30.52,NOR
men_1500m,2026,Yared NUGUSE,5,3:30.56,USA
men_1500m,2026,Hobbs KESSLER,6,3:30.71,USA
men_1500m,2026,Cole HOCKER,7,3:30.80,USA
men_1500m,2026,Jake HEYWARD,8,3:31.18,GBR
men_1500m,2026,Robert FARKEN,9,3:32.11,GER
men_1500m,2026,Vincent CIATTEI,11,3:33.67,USA
men_1500m,2026,Timothy CHERUIYOT,12,3:35.20,KEN
men_110h,2026,Ja'Kobe THARP,1,13.03,USA
men_110h,2026,Jamal BRITT,2,13.09,USA
men_110h,2026,Trey CUNNINGHAM,3,13.22,USA
men_110h,2026,Kendry L. MENÉNDEZ,4,13.32,CUB
men_110h,2026,Orlando BENNETT,6,13.43,JAM
men_110h,2026,Rachid MURATAKE,7,13.53,JPN
men_110h,2026,Cordell TINCH,,DQ,USA
men_HJ,2026,Mateusz KOŁODZIEJSKI,1,2.28,POL
men_HJ,2026,JuVaughn HARRISON,2,2.28,USA
men_HJ,2026,Oleh DOROSHCHUK,3,2.25,UKR
men_HJ,2026,Gianmarco TAMBERI,3,2.25,ITA
men_HJ,2026,Romaine BECKFORD,5,2.21,JAM
men_HJ,2026,Erick PORTILLO,6,2.21,MEX
men_PV,2026,Emmanouil KARALIS,1,6.12,GRE
men_PV,2026,Sondre GUTTORMSEN,2,5.82,NOR
men_PV,2026,Kurtis MARSCHALL,3,5.82,AUS
men_PV,2026,Sam KENDRICKS,4,5.72,USA
men_PV,2026,Baptiste THIERY,5,5.72,FRA
men_LJ,2026,Tajay GAYLE,1,8.46,JAM
men_LJ,2026,Miltiadis TENTOGLOU,2,8.40,GRE
men_LJ,2026,Simon EHAMMER,3,8.23,SUI
men_LJ,2026,Bozhidar SARÂBOYUKOV,4,8.00,BUL
men_LJ,2026,Wayne PINNOCK,5,7.94,JAM
men_LJ,2026,Jorge A. HODELÍN,7,6.81,CUB
men_DT,2026,Kristjan ČEH,1,71.29,SLO
men_DT,2026,Mykolas ALEKNA,2,70.14,LTU
men_DT,2026,Roje STONA,3,68.86,JAM
men_DT,2026,Matthew DENNY,4,68.04,AUS
men_DT,2026,Daniel STÅHL,5,67.92,SWE
men_DT,2026,Henrik JANSSEN,6,66.30,GER
women_200m,2026,Julien ALFRED,1,21.79,LCA
women_200m,2026,Kayla WHITE,2,22.00,USA
women_200m,2026,Amy HUNT,3,22.16,GBR
women_200m,2026,Anavia BATTLE,4,22.44,USA
women_200m,2026,Cambrea STURGIS,5,22.65,USA
women_200m,2026,Audrey LEDUC,6,22.95,CAN
women_200m,2026,Success EDUAN,7,23.06,GBR
women_200m,2026,Jenna PRANDINI,8,23.14,USA
women_5000m,2026,Freweyni HAILU,1,14:35.20,ETH
women_5000m,2026,Likina AMEBAW,2,14:36.31,ETH
women_5000m,2026,Senayet GETACHEW,3,14:37.09,ETH
women_5000m,2026,Rose DAVIES,4,14:37.47,AUS
women_5000m,2026,Hirut MESHESHA,5,14:37.84,ETH
women_5000m,2026,Georgia GRIFFITH,6,14:38.69,AUS
women_5000m,2026,Maureen KOSTER,7,14:39.38,NED
women_5000m,2026,Medina EISA,8,14:39.40,ETH
women_5000m,2026,Marta ALEMAYO,9,14:40.27,ETH
women_5000m,2026,Linden HALL,10,14:40.62,AUS
women_400h,2026,Anna COCKRELL,1,53.01,USA
women_400h,2026,Emma ZAPLETALOVÁ,2,53.10,SVK
women_400h,2026,Gianna WOODRUFF,4,53.56,PAN
women_400h,2026,Rushell CLAYTON,5,53.85,JAM
women_400h,2026,Fatoumata Binta DIALLO,6,53.90,POR
women_400h,2026,Dalilah MUHAMMAD,7,54.13,USA
women_400h,2026,Amalie IUEL,8,54.90,NOR
women_3000sc,2026,Faith CHEROTICH,1,8:51.61,KEN
women_3000sc,2026,Doris LEMNGOLE,2,8:52.86,KEN
women_3000sc,2026,Winfred YAVI,3,8:53.54,BRN
women_3000sc,2026,Marwa BOUZAYANI,4,8:57.02,TUN
women_3000sc,2026,Peruth CHEMUTAI,5,8:59.77,UGA
women_3000sc,2026,Lexy HALLADAY,6,9:05.36,USA
women_3000sc,2026,Kena TUFA,7,9:12.34,ETH
women_3000sc,2026,Gabrielle JENNINGS,8,9:14.05,USA
women_3000sc,2026,Lea MEYER,9,9:22.91,GER
women_3000sc,2026,Elise THORNER,10,9:34.68,GBR
women_3000sc,2026,Olivia GÜRTH,,DNF,GER
women_TJ,2026,Saly SARR,1,14.96,SEN
women_TJ,2026,Leyanis PÉREZ HERNÁNDEZ,2,14.82,CUB
women_TJ,2026,Davisleydi VELAZCO,3,14.73,CUB
women_TJ,2026,Ackelia SMITH,4,14.29,JAM
women_TJ,2026,Thea LAFOND,5,14.13,DMA
women_TJ,2026,Liadagmis POVEA,6,14.08,CUB
women_SP,2026,Chase JACKSON,1,21.14,USA
women_SP,2026,Sarah MITTON,2,20.64,CAN
women_SP,2026,Jessica SCHILDER,3,20.57,NED
women_SP,2026,Yemisi MABRY,4,19.59,GER
women_SP,2026,Fanny ROOS,5,19.08,SWE
women_SP,2026,Danniel THOMAS-DODD,6,18.44,JAM
women_DT,2026,Bin FENG,1,67.46,CHN
women_DT,2026,Valarie SION,2,66.92,USA
women_DT,2026,Jorinde VAN KLINKEN,3,64.66,NED
women_DT,2026,Shanice CRAFT,4,62.64,GER
women_DT,2026,Vanessa KAMGA,5,62.53,SWE
women_DT,2026,Cierra JACKSON,6,61.93,USA
